Time,Number of Individuals,,,,,
204,54,51,62,55,43,53
205,54,52,63,55,43,53.4
206,54,52,64,55,43,53.6
207,55,53,64,56,43,54.2
208,55,53,64,56,43,54.2
209,55,54,64,57,43,54.6
210,55,54,64,57,42,54.4
211,51,52,64,54,39,52
212,51,52,64,54,39,52
213,51,52,64,55,39,52.2
214,51,52,64,55,39,52.2
215,51,52,64,56,39,52.4
216,51,52,64,56,39,52.4
217,51,52,64,56,39,52.4
218,52,52,64,56,39,52.6
219,52,52,64,56,40,52.8
220,52,52,64,56,40,52.8
221,52,52,65,56,40,53
222,52,52,65,56,40,53
223,52,53,66,56,40,53.4
224,52,53,66,56,40,53.4
225,52,53,66,55,40,53.2
226,51,50,63,50,34,49.6
227,51,50,63,50,34,49.6
228,51,50,63,50,34,49.6
229,52,51,63,50,34,50
230,52,51,63,50,34,50
231,52,51,63,50,34,50
232,52,51,63,50,34,50
233,52,51,63,50,34,50
234,52,51,63,50,34,50
235,52,51,63,50,34,50
236,52,51,63,50,34,50
237,52,51,63,50,34,50
238,52,51,63,50,34,50
239,52,51,63,50,34,50
240,52,51,63,50,34,50
241,49,49,63,47,31,47.8
242,49,49,63,47,31,47.8
243,49,49,63,47,31,47.8
244,49,49,63,47,31,47.8
245,53,49,64,47,31,48.8
246,53,49,64,47,31,48.8
247,53,49,64,47,31,48.8
248,53,49,64,47,31,48.8
249,54,49,65,47,31,49.2
250,54,49,65,47,31,49.2
251,54,49,65,47,31,49.2
252,54,49,65,47,31,49.2
253,54,49,65,47,31,49.2
254,54,49,65,47,31,49.2
255,54,49,65,47,31,49.2
256,53,47,61,46,30,47.4
257,53,47,61,47,30,47.6
258,53,47,61,47,30,47.6
259,53,47,61,47,30,47.6
260,53,47,61,47,30,47.6
261,53,48,61,47,30,47.8
262,53,48,61,47,30,47.8
263,53,48,61,47,30,47.8
264,53,49,61,47,30,48
265,55,49,61,47,30,48.4
266,55,49,61,47,30,48.4
267,55,49,61,47,30,48.4
268,55,49,61,47,30,48.4
269,55,49,61,47,30,48.4
270,55,49,61,47,30,48.4
271,54,48,56,45,25,45.6
272,54,48,56,45,25,45.6
273,54,48,56,45,25,45.6
274,54,48,56,46,25,45.8
275,54,48,56,46,25,45.8
276,54,48,56,46,25,45.8
277,54,48,56,46,25,45.8
278,54,48,56,46,25,45.8
279,54,50,56,46,25,46.2
280,54,50,56,46,25,46.2
281,54,50,56,46,25,46.2
282,54,50,56,46,25,46.2
283,54,50,56,46,25,46.2
284,54,50,56,46,25,46.2
285,54,51,56,45,25,46.2
286,54,46,56,43,24,44.6
287,54,46,56,43,24,44.6
288,54,46,56,43,24,44.6
289,54,46,56,43,24,44.6
290,54,46,56,43,24,44.6
291,54,46,56,43,24,44.6
292,54,46,56,43,24,44.6
293,54,47,56,43,24,44.8
294,54,47,56,43,24,44.8
295,54,47,56,44,25,45.2
296,54,47,56,44,25,45.2
297,54,47,56,44,25,45.2
298,54,47,56,44,25,45.2
299,54,47,56,44,25,45.2
300,53,47,56,44,25,45
301,50,44,51,40,23,41.6
302,50,44,51,40,23,41.6
303,51,44,51,40,23,41.8
304,51,44,51,40,23,41.8
305,51,44,51,40,24,42
306,51,44,51,40,24,42
307,51,44,51,40,24,42
308,51,44,51,40,24,42
309,51,44,51,40,24,42
310,51,44,51,40,24,42
311,51,44,51,40,24,42
312,51,44,51,41,24,42.2
313,51,44,51,41,24,42.2
314,51,44,51,41,24,42.2
315,51,45,51,41,24,42.4
316,50,44,49,37,19,39.8
317,53,44,49,37,19,40.4
318,53,44,49,37,19,40.4
319,53,45,49,37,19,40.6
320,53,45,49,37,19,40.6
321,53,45,49,38,19,40.8
322,53,45,49,38,19,40.8
323,53,45,49,38,19,40.8
324,54,45,49,38,19,41
325,55,45,49,40,19,41.6
326,55,45,49,40,19,41.6
327,55,45,50,40,19,41.8
328,55,45,50,40,19,41.8
329,55,45,50,40,19,41.8
330,55,45,50,40,19,41.8
331,51,43,48,38,18,39.6
332,51,43,48,38,18,39.6
333,52,43,48,39,18,40
334,52,43,48,39,18,40
335,53,43,48,39,18,40.2
336,53,43,48,39,18,40.2
337,53,43,48,39,18,40.2
338,53,43,48,39,18,40.2
339,53,43,48,41,18,40.6
340,53,43,48,41,18,40.6
341,53,43,48,41,18,40.6
342,53,43,48,41,18,40.6
343,54,43,48,41,18,40.8
344,54,43,48,41,18,40.8
345,53,43,48,41,18,40.6
346,51,43,47,40,17,39.6
347,51,43,47,40,17,39.6
348,51,43,47,40,17,39.6
349,51,43,47,41,17,39.8
350,51,43,47,41,17,39.8
351,51,43,47,41,17,39.8
352,51,43,47,41,17,39.8
353,51,43,47,41,17,39.8
354,51,43,47,41,17,39.8
355,51,43,47,41,17,39.8
356,51,43,47,41,17,39.8
357,51,43,47,41,17,39.8
358,51,43,47,41,17,39.8
359,51,43,47,41,17,39.8
360,50,43,47,41,17,39.6
361,47,42,44,41,17,38.2
362,47,42,44,41,17,38.2
363,47,42,44,41,17,38.2
364,47,42,44,41,17,38.2
365,47,42,44,41,17,38.2
366,47,42,44,41,17,38.2
367,47,42,44,42,17,38.4
368,47,42,44,42,17,38.4
369,47,42,44,42,17,38.4
370,47,42,44,42,17,38.4
371,47,42,44,42,17,38.4
372,47,42,44,42,17,38.4
373,47,42,44,42,17,38.4
374,47,42,44,42,17,38.4
375,47,42,44,42,17,38.4
376,44,39,42,42,17,36.8
377,44,39,42,42,17,36.8
378,44,39,42,42,17,36.8
379,44,39,42,42,17,36.8
380,44,39,42,42,17,36.8
381,44,39,42,42,17,36.8
382,44,39,42,42,17,36.8
383,44,39,42,42,17,36.8
384,44,39,42,42,17,36.8
385,44,39,42,42,17,36.8
386,44,39,42,42,17,36.8
387,44,39,42,42,18,37
388,44,39,42,42,18,37
389,44,39,42,42,18,37
390,44,39,42,42,18,37
